,"('c-301', 'H1', ('7 - 8.5', '-', '-', '7 - 8.5', '8.5 - 10'), 7.5)","('c-301', 'H2', ('-', '7 - 8.5', '7 - 8.5', '-', '7 - 8.5'), 7.5)","('c-301', 'H5', ('8.5 - 10', '-', '8.5 - 10', '8.5 - 10', '-'), 7.5)","('c-301', 'H8', ('10.5 - 12', '8.5 - 10', '-', '10.5 - 12', '-'), 7.5)","('c-301', 'H7', ('-', '10.5 - 12', '10.5 - 12', '-', '10.5 - 12'), 7.5)","('c-301', 'H13', ('-', '12 - 13.5', '13.5 - 15', '-', '12 - 13.5'), 7.5)","('c-301', 'H22', ('15 - 16.5', '-', '-', '15 - 16.5', '16.5 - 18'), 7.5)","('c-301', 'H20', ('-', '15 - 16.5', '15 - 16.5', '-', '15 - 16.5'), 7.5)","('c-301', 'H24', ('16.5 - 18', '-', '16.5 - 18', '16.5 - 18', '-'), 7.5)","('c-301', 'H28', ('18.5 - 20', '16.5 - 18', '-', '18.5 - 20', '-'), 7.5)","('c-302', 'H13', ('-', '12 - 13.5', '13.5 - 15', '-', '12 - 13.5'), 7.5)","('c-302', 'H1', ('7 - 8.5', '-', '-', '7 - 8.5', '8.5 - 10'), 7.5)","('c-302', 'H2', ('-', '7 - 8.5', '7 - 8.5', '-', '7 - 8.5'), 7.5)","('c-302', 'H5', ('8.5 - 10', '-', '8.5 - 10', '8.5 - 10', '-'), 7.5)","('c-302', 'H8', ('10.5 - 12', '8.5 - 10', '-', '10.5 - 12', '-'), 7.5)","('c-302', 'H18', ('13.5 - 15', '13.5 - 15', '-', '13.5 - 15', '-'), 7.5)","('c-302', 'H22', ('15 - 16.5', '-', '-', '15 - 16.5', '16.5 - 18'), 7.5)","('c-302', 'H20', ('-', '15 - 16.5', '15 - 16.5', '-', '15 - 16.5'), 7.5)","('c-302', 'H24', ('16.5 - 18', '-', '16.5 - 18', '16.5 - 18', '-'), 7.5)","('c-302', 'H34', ('20 - 21.5', '-', '20 - 21.5', '20 - 21.5', '-'), 7.5)","('c-303', 'H8', ('10.5 - 12', '8.5 - 10', '-', '10.5 - 12', '-'), 9.0)","('c-303', 'H7', ('-', '10.5 - 12', '10.5 - 12', '-', '10.5 - 12'), 9.0)","('c-303', 'H12', ('12 - 13.5', '-', '12 - 13.5', '12 - 13.5', '-'), 9.0)","('c-303', 'H13', ('-', '12 - 13.5', '13.5 - 15', '-', '12 - 13.5'), 9.0)","('c-303', 'H1', ('7 - 8.5', '-', '-', '7 - 8.5', '8.5 - 10'), 9.0)","('c-303', 'H2', ('-', '7 - 8.5', '7 - 8.5', '-', '7 - 8.5'), 9.0)","('c-303', 'H28', ('18.5 - 20', '16.5 - 18', '-', '18.5 - 20', '-'), 9.0)","('c-303', 'H29', ('-', '18.5 - 20', '18.5 - 20', '-', '18.5 - 20'), 9.0)","('c-303', 'H34', ('20 - 21.5', '-', '20 - 21.5', '20 - 21.5', '-'), 9.0)","('c-303', 'H18', ('13.5 - 15', '13.5 - 15', '-', '13.5 - 15', '-'), 9.0)","('c-303', 'H22', ('15 - 16.5', '-', '-', '15 - 16.5', '16.5 - 18'), 9.0)","('c-303', 'H20', ('-', '15 - 16.5', '15 - 16.5', '-', '15 - 16.5'), 9.0)","('c-304', 'H7', ('-', '10.5 - 12', '10.5 - 12', '-', '10.5 - 12'), 7.5)","('c-304', 'H12', ('12 - 13.5', '-', '12 - 13.5', '12 - 13.5', '-'), 7.5)","('c-304', 'H13', ('-', '12 - 13.5', '13.5 - 15', '-', '12 - 13.5'), 7.5)","('c-304', 'H1', ('7 - 8.5', '-', '-', '7 - 8.5', '8.5 - 10'), 7.5)","('c-304', 'H2', ('-', '7 - 8.5', '7 - 8.5', '-', '7 - 8.5'), 7.5)","('c-304', 'H29', ('-', '18.5 - 20', '18.5 - 20', '-', '18.5 - 20'), 7.5)","('c-304', 'H34', ('20 - 21.5', '-', '20 - 21.5', '20 - 21.5', '-'), 7.5)","('c-304', 'H18', ('13.5 - 15', '13.5 - 15', '-', '13.5 - 15', '-'), 7.5)","('c-304', 'H22', ('15 - 16.5', '-', '-', '15 - 16.5', '16.5 - 18'), 7.5)","('c-304', 'H20', ('-', '15 - 16.5', '15 - 16.5', '-', '15 - 16.5'), 7.5)","('c-305', 'H5', ('8.5 - 10', '-', '8.5 - 10', '8.5 - 10', '-'), 7.5)","('c-305', 'H8', ('10.5 - 12', '8.5 - 10', '-', '10.5 - 12', '-'), 7.5)","('c-305', 'H7', ('-', '10.5 - 12', '10.5 - 12', '-', '10.5 - 12'), 7.5)","('c-305', 'H12', ('12 - 13.5', '-', '12 - 13.5', '12 - 13.5', '-'), 7.5)","('c-305', 'H13', ('-', '12 - 13.5', '13.5 - 15', '-', '12 - 13.5'), 7.5)","('c-305', 'H24', ('16.5 - 18', '-', '16.5 - 18', '16.5 - 18', '-'), 7.5)","('c-305', 'H28', ('18.5 - 20', '16.5 - 18', '-', '18.5 - 20', '-'), 7.5)","('c-305', 'H29', ('-', '18.5 - 20', '18.5 - 20', '-', '18.5 - 20'), 7.5)","('c-305', 'H18', ('13.5 - 15', '13.5 - 15', '-', '13.5 - 15', '-'), 7.5)","('c-306', 'H2', ('-', '7 - 8.5', '7 - 8.5', '-', '7 - 8.5'), 7.5)","('c-306', 'H5', ('8.5 - 10', '-', '8.5 - 10', '8.5 - 10', '-'), 7.5)","('c-306', 'H7', ('-', '10.5 - 12', '10.5 - 12', '-', '10.5 - 12'), 7.5)","('c-306', 'H12', ('12 - 13.5', '-', '12 - 13.5', '12 - 13.5', '-'), 7.5)","('c-306', 'H1', ('7 - 8.5', '-', '-', '7 - 8.5', '8.5 - 10'), 7.5)","('c-306', 'H20', ('-', '15 - 16.5', '15 - 16.5', '-', '15 - 16.5'), 7.5)","('c-306', 'H24', ('16.5 - 18', '-', '16.5 - 18', '16.5 - 18', '-'), 7.5)","('c-306', 'H28', ('18.5 - 20', '16.5 - 18', '-', '18.5 - 20', '-'), 7.5)","('c-306', 'H33', ('-', '18.5 - 21.5', '18.5 - 20', '-', '-'), 7.5)","('c-306', 'H34', ('20 - 21.5', '-', '20 - 21.5', '20 - 21.5', '-'), 7.5)","('c-307', 'H12', ('12 - 13.5', '-', '12 - 13.5', '12 - 13.5', '-'), 7.5)","('c-307', 'H13', ('-', '12 - 13.5', '13.5 - 15', '-', '12 - 13.5'), 7.5)","('c-307', 'H1', ('7 - 8.5', '-', '-', '7 - 8.5', '8.5 - 10'), 7.5)","('c-307', 'H2', ('-', '7 - 8.5', '7 - 8.5', '-', '7 - 8.5'), 7.5)","('c-307', 'H5', ('8.5 - 10', '-', '8.5 - 10', '8.5 - 10', '-'), 7.5)","('c-307', 'H34', ('20 - 21.5', '-', '20 - 21.5', '20 - 21.5', '-'), 7.5)","('c-307', 'H18', ('13.5 - 15', '13.5 - 15', '-', '13.5 - 15', '-'), 7.5)","('c-307', 'H20', ('-', '15 - 16.5', '15 - 16.5', '-', '15 - 16.5'), 7.5)","('Nido', 'HX1', ('-', '-', '-', '-', '-'), 0)"
"('c-301', 'H1', ('7 - 8.5', '-', '-', '7 - 8.5', '8.5 - 10'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.2,1.7000000000000002,5.5,16.5,0.0,0.0,0.0,0.0,5.5,7.5,12.0,13.5,0.0,0.2,0.0,0.0,0.0,16.5,0.0,0.0,7.5,12.0,13.5,0.0,0.2,0.0,0.0,16.5,0.0,0.0,1.7000000000000002,5.5,7.5,12.0,13.5,0.0,0.0,0.0,16.5,0.2,1.7000000000000002,7.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.5,0.0,0.2,1.7000000000000002,0.0,16.5,0.0,1.0
"('c-301', 'H2', ('-', '7 - 8.5', '7 - 8.5', '-', '7 - 8.5'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.30000000000000004,0.0,3.1,7.1,18.0,0.0,0.0,0.0,0.0,7.1,6.0,13.5,12.0,0.30000000000000004,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,13.5,12.0,0.30000000000000004,0.0,0.0,0.0,18.0,0.0,0.0,3.1,7.1,6.0,13.5,12.0,0.0,0.0,0.0,18.0,0.0,3.1,6.0,13.5,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,13.5,12.0,0.30000000000000004,0.0,3.1,0.0,18.0,0.0,0.0
"('c-301', 'H5', ('8.5 - 10', '-', '8.5 - 10', '8.5 - 10', '-'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.5,0.2,0.0,2.5,13.5,0.0,0.0,0.0,0.0,2.5,7.5,6.0,13.5,1.5,0.2,0.0,0.0,0.0,13.5,0.0,0.0,7.5,6.0,13.5,1.5,0.2,0.0,0.0,13.5,0.0,0.0,0.0,2.5,7.5,6.0,13.5,0.0,0.0,0.0,13.5,0.2,0.0,7.5,6.0,1.5,0.0,0.0,0.0,0.0,0.0,6.0,13.5,1.5,0.2,0.0,0.0,13.5,0.0,0.0
"('c-301', 'H8', ('10.5 - 12', '8.5 - 10', '-', '10.5 - 12', '-'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,5.5,0.2,2.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,7.5,5.199999999999999,13.5,5.5,0.2,0.0,0.0,0.0,6.5,0.0,0.0,7.5,5.199999999999999,13.5,5.5,0.2,0.0,0.0,6.5,0.0,0.0,2.5,0.0,7.5,5.199999999999999,13.5,0.0,0.0,0.0,6.5,0.2,2.5,7.5,5.199999999999999,5.5,0.0,0.0,0.0,0.0,0.0,5.199999999999999,13.5,5.5,0.2,2.5,0.0,6.5,0.0,0.0
"('c-301', 'H7', ('-', '10.5 - 12', '10.5 - 12', '-', '10.5 - 12'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,0.7,6.0,3.5,7.5,14.5,0.0,0.0,0.0,0.0,7.5,0.0,10.1,1.7000000000000002,0.7,6.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,10.1,1.7000000000000002,0.7,6.0,0.0,0.0,14.5,0.0,0.0,3.5,7.5,0.0,10.1,1.7000000000000002,0.0,0.0,0.0,14.5,6.0,3.5,0.0,10.1,0.7,0.0,0.0,0.0,0.0,0.0,10.1,1.7000000000000002,0.7,6.0,3.5,0.0,14.5,0.0,0.0
"('c-301', 'H13', ('-', '12 - 13.5', '13.5 - 15', '-', '12 - 13.5'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,12.0,6.5,9.0,13.1,0.0,0.0,0.0,0.0,9.0,1.5,10.0,0.0,2.2,12.0,0.0,0.0,0.0,13.1,0.0,0.0,1.5,10.0,0.0,2.2,12.0,0.0,0.0,13.1,0.0,0.0,6.5,9.0,1.5,10.0,0.0,0.0,0.0,0.0,13.1,12.0,6.5,1.5,10.0,2.2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.2,12.0,6.5,0.0,13.1,0.0,0.0
"('c-301', 'H22', ('15 - 16.5', '-', '-', '15 - 16.5', '16.5 - 18'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('c-301', 'H20', ('-', '15 - 16.5', '15 - 16.5', '-', '15 - 16.5'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('c-301', 'H24', ('16.5 - 18', '-', '16.5 - 18', '16.5 - 18', '-'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('c-301', 'H28', ('18.5 - 20', '16.5 - 18', '-', '18.5 - 20', '-'), 7.5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('c-302', 'H13', ('-', '12 - 13.5', '13.5 - 15', '-', '12 - 13.5'), 7.5)",2.2,12.0,6.5,9.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.5,10.0,0.0,2.2,12.0,0.0,0.0,0.0,13.1,0.0,0.0,1.5,10.0,0.0,2.2,12.0,0.0,0.0,13.1,0.0,0.0,6.5,9.0,1.5,10.0,0.0,0.0,0.0,0.0,13.1,12.0,6.5,1.5,10.0,2.2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.2,12.0,6.5,0.0,13.1,0.0,0.0
"('c-302', 'H1', ('7 - 8.5', '-', '-', '7 - 8.5', '8.5 - 10'), 7.5)",0.0,0.2,1.7000000000000002,5.5,7.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,7.5,12.0,13.5,0.0,0.2,0.0,0.0,0.0,16.5,0.0,0.0,7.5,12.0,13.5,0.0,0.2,0.0,0.0,16.5,0.0,0.0,1.7000000000000002,5.5,7.5,12.0,13.5,0.0,0.0,0.0,16.5,0.2,1.7000000000000002,7.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.5,0.0,0.2,1.7000000000000002,0.0,16.5,0.0,1.0
"('c-302', 'H2', ('-', '7 - 8.5', '7 - 8.5', '-', '7 - 8.5'), 7.5)",0.30000000000000004,0.0,3.1,7.1,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,6.0,13.5,12.0,0.30000000000000004,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,13.5,12.0,0.30000000000000004,0.0,0.0,0.0,18.0,0.0,0.0,3.1,7.1,6.0,13.5,12.0,0.0,0.0,0.0,18.0,0.0,3.1,6.0,13.5,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,13.5,12.0,0.30000000000000004,0.0,3.1,0.0,18.0,0.0,0.0
"('c-302', 'H5', ('8.5 - 10', '-', '8.5 - 10', '8.5 - 10', '-'), 7.5)",1.5,0.2,0.0,2.5,7.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,6.0,13.5,1.5,0.2,0.0,0.0,0.0,13.5,0.0,0.0,7.5,6.0,13.5,1.5,0.2,0.0,0.0,13.5,0.0,0.0,0.0,2.5,7.5,6.0,13.5,0.0,0.0,0.0,13.5,0.2,0.0,7.5,6.0,1.5,0.0,0.0,0.0,0.0,0.0,6.0,13.5,1.5,0.2,0.0,0.0,13.5,0.0,0.0
